,Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gdpPerCapita ppp,gdp pppInternational,gni,gniPerCapita,gniPerCapita ppp,pop14under,pop15to24,pop25to64,pop65over,hivPct,povertyRatio,totalPop,Happiness Score
218,Pakistan,2016,3.4810000000000003,66.48100000000001,62.9,1.99856,63.76600000000001,5.52674,278654637737.69,1442.28584,5244.10324,1013178973549.13,30858493000000.0,1500.0,5570.0,72692.79,41083.104,81067.757,8787.702,0.1,0.0,203631.353,5.1320000000000014
219,Pakistan,2017,3.414,66.62899999999999,61.2,1.95408,63.558,5.70062,304951818494.06604,1547.85341,5539.1074899999985,1091292552787.73,33707195000000.0,1580.0,5840.0,73762.256,41524.54,83650.68,8968.733,0.1,0.0,207906.209,5.26900005340576
220,Malta,2015,1.37,81.89756,5.7,2.3864,5.586,9.62165,10554669617.5194,23715.53414,35667.97268,15874138246.8,9142395594.11723,24640.0,34260.0,61.68600000000001,53.59,236.812,81.471,0.0,,433.559,6.3020000000000005
221,Malta,2016,1.37,82.45366,5.7,2.28862,5.52,5.230580000000002,11274020600.9269,24758.69562,37774.14129,17200681879.7536,9586714623.23789,23750.0,35530.0,61.96,52.074,237.551,84.512,0.0,0.0,436.097,6.488
222,Malta,2017,1.37,82.45366,5.6,2.73866,5.454,6.42249,12518134319.0893,26748.20741,40796.75925,19092842533.6323,10454112394.7598,23940.0,38390.0,62.317,50.4,238.123,87.09299999999998,0.0,0.0,437.93300000000005,6.52699995040894
223,South Korea,2015,1.239,82.02439,3.0,0.5272899999999999,18.366,2.7902400000000003,1382764027113.82,27105.07623,35760.73444,1824331972258.94,1568383100000000.0,27250.0,35860.0,7004.2959999999985,6704.488,30578.784,6535.525,0.0,0.0,50823.093,5.984
224,South Korea,2016,1.172,82.27561,2.9,0.45132,18.438,2.9293,1414804158515.26,27608.24743,37142.8329,1903410732086.29,1646208900000000.0,27690.0,37240.0,6881.712,6576.719,30724.883,6800.143,0.0,0.0,50983.457,5.835
225,South Korea,2017,1.052,82.62683,2.8,0.42935,18.497,3.06277,1530750923148.7,29742.838860000003,38824.11539,1998129726322.38,1730461400000000.0,28380.0,38830.0,6757.7559999999985,6391.015,30869.642000000003,7078.002,0.0,0.0,51096.415,5.837999820709231
226,Poland,2015,1.32,77.45121999999998,4.2,-0.06663999999999999,39.722,3.83895,476970902628.5779,12556.35575,26826.22876,1019032178179.95,1736693000000.0,13340.0,25910.0,5645.891,4479.201,21925.662,5983.325,0.0,,38034.079,5.791
227,Poland,2016,1.39,77.85122,4.1,-0.04299,39.822,3.0626,471992087443.889,12430.6296,27735.35085,1053113684731.11,1783745000000.0,12670.0,26580.0,5616.771,4303.742,21862.143,6206.564,0.0,,37989.22,5.835
228,Poland,2017,1.39,77.85122,4.0,0.01248,39.895,4.80575,526465839002.568,13863.54842,29923.70957,1136347664117.43,1910052000000.0,12730.0,28740.0,5647.16,4122.252,21757.803,6425.965,0.0,0.0,37953.18,5.97300004959106
229,Serbia,2015,1.46,75.2878,5.5,-0.49477,44.304,0.75772,37160332465.1645,5237.25533,13992.72658,99283754281.1882,3843937868100.0,5540.0,13300.0,1434.861,1097.938,4838.771,1505.207,0.1,0.1,8876.777,5.122999999999998
230,Serbia,2016,1.46,75.6878,5.2,-0.52369,44.19,2.79732,38299854688.1277,5426.19828,14719.5956,103895645425.418,4012540546500.0,5300.0,13860.0,1414.618,1084.441,4812.264,1542.64,0.1,0.0,8853.963,5.1770000000000005
231,Serbia,2017,1.46,76.0878,5.0,-0.5321899999999999,44.058,1.86743,41431648801.1663,5901.22301,15431.90348,108345202996.368,4153945509100.0,5180.0,14360.0,1397.3670000000004,1072.316,4779.905,1580.04,0.1,0.0,8829.628,5.39499998092651
232,Cambodia,2015,2.594,68.62,27.5,1.60353,77.812,7.03609,18049954289.4229,1163.18977,3514.68395,54539582602.6052,68927052860800.0,1060.0,3300.0,4905.112,3197.948,6779.02,639.356,0.6,0.0,15521.436000000003,3.819
233,Cambodia,2016,2.56,68.98100000000001,26.3,1.56483,77.418,6.86309,20016747754.0192,1269.90724,3738.01812,58920024655.9996,76255944356000.0,1140.0,3510.0,4948.931,3186.95,6959.138000000001,671.273,0.6,0.0,15766.292,3.907
234,Cambodia,2017,2.53,69.331,25.1,1.5299,77.02,7.09987,22158209502.6391,1384.42319,4017.57073,64302718012.6831,84252912607200.0,1230.0,3770.0,5006.531,3142.867,7153.861999999999,706.1489999999999,0.5,0.0,16009.409,4.1680002212524405
